"Avg Sequence Length","Number of Merges","_defaultColorIndex","id","name"
"16.01849075462269","44","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.995502248875562","45","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.97351324337831","46","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.952523738130935","47","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.932533733133432","48","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.914542728635682","49","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.897051474262868","50","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.880059970014992","51","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.864067966016991","52","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
"15.848575712143928","53","15","hud3edbi","UNER_EN_STEP_1_DISTR_DYNAMIC_BPE_uner_ZeTT_dynamic_bpe_lng_en_ewt_surflen_4_batch_32_bpe_token_boundary_pretokens_adapter_path_UNER_subword_tk_en_lora_alpha_512_drop_0.3_rank_256_seed_42"
